"SB"	"OPS"	"tSho"	"WS"
159	0.686	10	0
95	0.695	15	0
262	0.636	4	0
62	0.651	10	0
53	0.676	6	0
96	0.676	9	0
74	0.653	13	0
260	0.745	15	0
100	0.791	7	1
148	0.759	12	0
84	0.765	9	0
63	0.693	6	0
115	0.673	8	0
48	0.743	14	0
69	0.75	5	0
77	0.704	6	0
39	0.748	9	0
47	0.776	8	0
55	0.659	4	0
79	0.696	8	0
102	0.709	7	0
314	0.714	20	1
126	0.736	7	0
73	0.739	14	0
70	0.718	6	0
87	0.726	12	0
139	0.712	8	0
143	0.795	4	0
47	0.632	8	0
92	0.719	5	0
130	0.703	5	0
96	0.708	13	0
77	0.667	15	0
105	0.784	4	0
73	0.783	7	0
100	0.717	6	0
36	0.759	8	0
64	0.705	8	0
86	0.7	7	0
108	0.754	15	0
